?"sku",fnsku,asin,amazon-store,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight
VSG-FWT-240B,X004BEL1UP,B0D977XGTM,US,39.99,10.51,9.57,6.77,43.19,inches,5.71,pounds
VSG-GB-5OYBGG350,X004B9L45H,B0D91W6FQ6,US,15.99,10.55,6.89,2.99,30.31,inches,1.52,pounds
VSG-GB-10OYBGG350,X004B9L457,B0D91X4KS7,US,18.99,12.09,8.66,3.19,35.79,inches,2.18,pounds
VSG-GB-7OYBGG350,X004B9L44X,B0D91VVF33,US,17.99,10.51,8.58,2.64,32.95,inches,1.83,pounds
VSF-BF412W,X004B9KMWN,B0D8KFSPK2,US,51.99,16.75,7,2.75,36.25,inches,3,pounds
VSF-BF412B,X004B9KMKP,B0D8KDWWMM,US,55.99,16.69,7.05,2.83,36.45,inches,3.15,pounds
VSG-GB-AOYBGG350,X004B9JK71,B0D91WZJQ1,US,17.99,10.75,8.43,3.7,35.01,inches,1.79,pounds
WB-6x300,X004B65QSB,B0D8VHL4MR,US,179.99,72,10.5,10.5,114,inches,59.5,pounds
VSG-SCB4W,X004B58NYL,B0D8SZNG4C,US,215.99,16.2,15.7,13.5,74.6,inches,19.95,pounds
VSG-BR230g40X30M,X004B3HTLL,B0D8PXJKGH,US,27.99,12.6,12.4,3.7,44.8,inches,4.37,pounds
VSG-BR230g40X13M,X004B3FGR5,B0D8PR4Q2Z,US,15.99,10.87,10.79,2.28,37.01,inches,1.1,pounds
VSG-BR280g63X30G,X004B3DN61,B0D8P8XV2Q,US,44.99,17.99,13.54,4.72,54.51,inches,8.62,pounds
VSG-BR230g40X75M,X004B383A7,B0D8PSCK93,US,50.99,21,13,4.5,56,inches,11.65,pounds
VSF-BF410B,X004B1LCC5,B0D8KFWPZ5,US,49.99,16.77,7.05,2.91,36.69,inches,2.95,pounds
VSP-SWP-PT16,X004B1J9EN,B0D8KVF8V9,US,219.99,21.5,21,13.5,90.5,inches,37.25,pounds
VSF-BF410W,X004B17SHX,B0D8KH8CYR,US,30.99,16.69,7.09,2.87,36.61,inches,3,pounds
GT-002,X004AT22TF,B0D83JKQSD,US,24.99,6.06,4.53,4.53,24.18,inches,1.85,pounds
GT-001,X004ASQ30F,B0D82YTC9B,US,16.99,4.53,4.49,3.07,19.65,inches,0.95,pounds
VSAW400SE,X004ASFK81,B0D826L2JD,US,349.99,31.4,17,5.1,75.6,inches,17.6,pounds
VSAW400SE-E25,X004ASFK7R,B0D8318TRS,US,369.99,31.5,17,5.25,76,inches,18.1,pounds
VSAW400,X004ASFK7H,B0D82RC59V,US,399.99,34,18,4.5,79,inches,21.55,pounds
332967-200,X004AQPPLF,B0D7YT3B87,US,22.49,12.13,7.32,1.97,30.71,inches,8.07,pounds
HCC-002,X004ANSXVH,B0D7VJDC9B,US,49.99,38.75,10,9.5,77.75,inches,12.05,pounds
VSI-FFSW6-4,X004ABE3LD,B0D7HNXMGL,US,59.99,15.3,15.2,7.8,61.3,inches,10.35,pounds
VP-KIT001,X004A2ZR7V,B0D737G54M,US,99.99,16.9,14.8,9.6,65.7,inches,15.1,pounds
AP-5W,X0049Z2YV1,B0D6W3QSYR,US,29.99,10.31,5.47,5.16,31.57,inches,2.2,pounds
HR-0004J,X0049PKXPF,B0C8153XLZ,US,109.99,84.25,7,3.75,105.75,inches,19.75,pounds
HR-0003J,X0049PFNFZ,B0C818F9Q6,US,85.49,70.5,6.5,4.5,92.5,inches,17,pounds
305142-PEN,X0049L6ASD,B0D62HTFKS,US,9.49,6.5,2.17,1.26,13.36,inches,0.22,pounds
305141-PEN,X0049L2AZF,B0D62NJWV7,US,9.99,6.46,2.13,1.14,13,inches,0.24,pounds
VSE-UH075,X0049KTL0X,B0D626DZTN,US,24.99,7.28,4.02,3.98,23.28,inches,0.86,pounds
AP-40kit,X00497UXJT,B0D59VNTDN,US,53.99,8.7,7.13,6.85,36.66,inches,6.75,pounds
HR-0001D,X004910IU9,B0D4TK376L,US,38.99,31,13,2.5,62,inches,5.9,pounds
CBIN-BL-3,X0048ZJQ6D,B0D4QF9ZMJ,US,72.99,15.8,12.8,8.8,59,inches,5.4,pounds
CBIN-BL-5,X0048ZJQ63,B0D4Q8TYQX,US,66.39,16.2,13,11.3,64.8,inches,7.5,pounds
PHP-0001,X0048WWBKT,B0D4L8Y7BT,US,7.99,3.11,2.48,1.06,10.19,inches,0.07,pounds
WB-47-2,X0048MU18X,B0D456N2TP,US,59.39,23.3,23.3,4.2,78.3,inches,9.15,pounds
WB-30-2,X0048MU18D,B0D44YMHGR,US,49.99,20.25,20,4,68.25,inches,7.8,pounds
WB-47,X0048MU183,B0D451N9RQ,US,40.49,23.25,23.02,2.25,73.79,inches,5.7,pounds
SPray-1L-BG,X0048HB425,B0D3TKZJDH,US,17.09,11.77,6.02,4.65,33.11,inches,1.01,pounds
