sku,fnsku,asin,amazon-store,your-price,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight,european_size_category,european_shipping_weight_g,european_country,fba_fee_2025年1月15日至2025年10月14日,fba_fee_2025年10月15日至2026年1月14日
TN-44-EU,X0022GVOSP,B0BY2JKXC7,DE,13.21,13.21,20,18.2,3.6,63.6,centimeters,179.99,grams,大号信封,179.99,德国,3.04,3.04
TN-24-EU,X0022GVOB7,B0BY2CLYQQ,DE,14.99,14.99,18.9,11.8,3.1,48.7,centimeters,130,grams,大号信封,130,德国,3.04,3.04
HDR004-EU,X0022GVNO5,B096VPCTTV,DE,27.99,27.99,26.01,25.2,6.91,90.22,centimeters,719.99,grams,标准包裹,905.835,德国,4.54,4.75
TN-22-EU,X0022GVNNV,B0BY2BGGN2,DE,10.99,10.99,14.7,12.9,3.2,46.9,centimeters,89.99,grams,大号信封,89.99,德国,3.04,3.04
HDR006-EU,X0022GVMRD,B096VM7MF3,DE,29.99,29.99,25.2,24.79,8.61,92,centimeters,939.98,grams,小包裹,1075.747,德国,4.29,4.49
LED-300-UK,X00221EQNZ,B09LQL4XGK,GB,284.99,284.99,57,56,14,197,centimeters,8009.99,grams,轻型标准大件,8937.6,英国,6.63,6.63
HDR004-UK,X002214MBB,B096VPCTTV,GB,25.99,25.99,26.01,25.2,6.91,90.22,centimeters,712,grams,标准包裹,905.835,英国,3.26,3.36
VS-THB1S-UK,X00220ZFYF,B0BXP3XLLR,GB,24.99,24.99,14.3,12.7,2.9,45.5,centimeters,210.01,grams,大号信封,210.01,英国,2.72,2.77
VSV-AZS6-UK,X00220SBLT,B0C2C8NP5D,GB,109.99,109.99,35.6,28.1,25.7,143.2,centimeters,2770,grams,标准包裹,5141.85,英国,5.19,5.34
VSV-AZS6E42A-EU,X00220HP1B,B09YGSSMW8,DE,93.09,93.09,36.1,28.3,25.7,144.1,centimeters,3130.01,grams,标准包裹,5251.178,德国,5.95,6.23
311003-5X3NJ-EU,X00220G4QX,B088GVCMZH,DE,16.99,16.99,22.5,8.5,4.5,48.5,centimeters,210.01,grams,超大号信封,210.01,德国,3.42,3.42
311003-5X2NJ-EU,X002203JR5,B087CR7H9S,DE,9.59,9.59,24.3,9.6,1.7,46.9,centimeters,139.98,grams,标准信封,139.98,德国,2.57,2.57
