?"sku",fnsku,asin,amazon-store,fulfilled-by,your-price,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight,size_category_2024,shipping_weight_2024,size_category_2026,shipping_weight_2026,removal_fee_2026,multichannel_fee_standard,multichannel_fee_express,fba_fee_2025年01月15日至2025年10月14日_2024,fba_fee_2025年10月15日至2026年01月14日_2024,fba_fee_自2026年01月15日起_2026
LED-4bar,X002L5S997,B08D6L45FP,US,Amazon,339.99,339.99,51,21,4.5,102,inches,29.8,pounds,大号大件,34.673,大号大件,34.673,40.47,43.49,18.19,22.41,23.45,22.15
GH-0010,X002KJ6UZJ,B08C2V7FX6,US,Amazon,139.99,139.99,47.4,16,8.3,96,inches,70.5,pounds,"超大件((70,150]磅)",70.5,"超大件((70,150]磅)",70.5,78.45,85.73,89.59,54.44,58.85,50.95
GH-0007,X002JV1IWD,B08B63NZX8,US,Amazon,39.99,39.99,38.75,14.5,3.75,75.25,inches,14.8,pounds,大号大件,15.158,大号大件,15.158,19.79,28.56,30.26,14.99,16.03,14.73
GH-0008,X002JURKUX,B08B61SG9W,US,Amazon,49.99,49.99,38.8,14.5,3.4,74.6,inches,14.9,pounds,大号大件,14.9,大号大件,14.9,19.51,28.36,30.06,14.89,15.93,14.63
333122x2NJ,X002J89CW9,B0895GRK7T,US,Amazon,16.99,16.99,6.65,3.66,2.52,19.01,inches,0.49,pounds,大号标准尺寸,0.49,大号标准尺寸,0.49,0.84,7.72,11.59,3.9,4.16,3.95
330702X2NJ,X002IY5C23,B088NT1VZ2,US,Amazon,15.66,15.66,7.9,4.5,1.9,20.7,inches,0.6,pounds,大号标准尺寸,0.6,大号标准尺寸,0.6,1.53,8.61,11.81,4.15,4.43,4.2
330701X2NJ,X002IY5BLZ,B088NSTT2R,US,Amazon,11.39,11.39,6.93,6.26,0.94,21.33,inches,0.31,pounds,大号标准尺寸,0.31,大号标准尺寸,0.31,0.84,7.72,11.59,3.9,4.16,3.95
311003-5X6NJ,X002IUQTKB,B088H36B51,US,Amazon,15.99,15.99,8.82,4.84,1.85,22.2,inches,0.9,pounds,大号标准尺寸,0.9,大号标准尺寸,0.9,1.53,8.93,13.12,4.55,4.84,4.6
311003-5X3NJ,X002IUQ9K1,B088GVCMZH,US,Amazon,9.59,9.59,9.65,3.19,1.73,19.49,inches,0.55,pounds,大号标准尺寸,0.55,大号标准尺寸,0.55,1.53,8.61,11.81,3.38,3.66,3.38
311003-4X6NJ,X002IUOMA5,B088GMYWZH,US,Amazon,15.99,15.99,9.72,5.94,1.89,25.38,inches,1.1,pounds,大号标准尺寸,1.1,大号标准尺寸,1.1,2.27,10.64,13.45,4.99,5.29,5.04
311003-4X3NJ,X002IUAT1L,B088GW8H4J,US,Amazon,10.39,10.39,8.75,3.07,1.7,18.29,inches,0.46,pounds,大号标准尺寸,0.46,大号标准尺寸,0.46,0.84,7.72,11.59,3.9,4.16,3.95
